Original Cell Type,Level Three Cell Type,Level Three CL Label,Level Three CL ID,CL_Match/3,Level Two Cell Type,Level Two CL Label,Level Two CL ID,CL_Match/2,Level One Cell Type,Level One CL Label,Level One CL ID,CL_Match/1,Tissue Type
Acinar Cells,acinar cell of salivary gland,acinar cell of salivary gland,CL:0002623,skos:exactMatch,gland epithelium cell,glandular secretory epithelial cell,CL:0000150,skos:exactMatch,epithelial cell,epithelial cell,CL:0000066,skos:exactMatch,oralcavity-codex-czi
Acini,acinar cell of salivary gland,acinar cell of salivary gland,CL:0002623,skos:exactMatch,gland epithelium cell,glandular secretory epithelial cell,CL:0000150,skos:exactMatch,epithelial cell,epithelial cell,CL:0000066,skos:exactMatch,oralcavity-codex-czi
Adipocytes,adipocyte,adipocyte,CL:0000136,skos:exactMatch,adipocyte,adipocyte,CL:0000136,skos:exactMatch,mesenchymal cell,mesenchymal cell,CL:0008019,skos:exactMatch,oralcavity-codex-czi
Adipocytes,adipocyte,adipocyte,CL:0000136,skos:exactMatch,adipocyte,adipocyte,CL:0000136,skos:exactMatch,mesenchymal cell,mesenchymal cell,CL:0008019,skos:exactMatch,colon-xenium-stanford
Adipocyte,adipocyte,adipocyte,CL:0000136,skos:exactMatch,adipocyte,adipocyte,CL:0000136,skos:exactMatch,mesenchymal cell,mesenchymal cell,CL:0008019,skos:exactMatch,bonemarrow-codex-chop
B-Cells,b cell,B cell,CL:0000236,skos:exactMatch,b cell,B cell,CL:0000236,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,bonemarrow-codex-chop
B,b cell,B cell,CL:0000236,skos:exactMatch,b cell,B cell,CL:0000236,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,tonsil-codex-stanford
B cell,b cell,B cell,CL:0000236,skos:exactMatch,b cell,B cell,CL:0000236,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,lung-codex-urmc
B cells,b cell,B cell,CL:0000236,skos:exactMatch,b cell,B cell,CL:0000236,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,colon-cycif-sorgerlab
B Cells,b cell,B cell,CL:0000236,skos:exactMatch,b cell,B cell,CL:0000236,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,oralcavity-codex-czi
B cells,b cell,B cell,CL:0000236,skos:exactMatch,b cell,B cell,CL:0000236,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,skin-confocal-sorgerlab
B,b cell,B cell,CL:0000236,skos:exactMatch,b cell,B cell,CL:0000236,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,intestine-codex-stanford
"B cells, red pulp",b cell,B cell,CL:0000236,skos:exactMatch,b cell,B cell,CL:0000236,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,spleen-codex-ufl
B_cell_1,b cell,B cell,CL:0000236,skos:exactMatch,b cell,B cell,CL:0000236,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,lung-codex-urmc
B_activated,b cell:activated,B cell:activated,CL:0000236,skos:narrowMatch,b cell,B cell,CL:0000236,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,lymphnode-codex-yale
Fol B cells,b cell:follicular,follicular B cell,CL:0000843,skos:exactMatch,b cell,B cell,CL:0000236,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,spleen-codex-ufl
B_GC_DZ,b cell:germinal center,germinal center B cell,CL:0000844,skos:exactMatch,b cell,B cell,CL:0000236,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,lymphnode-codex-yale
B_GC_LZ,b cell:germinal center,germinal center B cell,CL:0000844,skos:exactMatch,b cell,B cell,CL:0000236,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,lymphnode-codex-yale
B_GC_prePB,b cell:germinal center pre-plasmablast,germinal center B cell:pre-plasmablast,CL:0000844,skos:narrowMatch,b cell,B cell,CL:0000236,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,lymphnode-codex-yale
Immature_B_Cell,b cell:immature,immature B cell,CL:0000816,skos:exactMatch,b cell,B cell,CL:0000236,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,bonemarrow-codex-chop
B_IFN,b cell:interferon,B cell:interferon-stimulated,CL:0000236,skos:narrowMatch,b cell,B cell,CL:0000236,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,lymphnode-codex-yale
B_mem,b cell:memory,memory B cell,CL:0000787,skos:exactMatch,b cell,B cell,CL:0000236,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,lymphnode-codex-yale
Memory B,b cell:memory,memory B cell,CL:0000787,skos:exactMatch,b cell,B cell,CL:0000236,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,colon-xenium-stanford
B_naive,b cell:naive,naive B cell,CL:0000788,skos:exactMatch,b cell,B cell,CL:0000236,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,lymphnode-codex-yale
Naive B,b cell:naive,naive B cell,CL:0000788,skos:exactMatch,b cell,B cell,CL:0000236,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,colon-xenium-stanford
B_preGC,b cell:pre-germinal center,B cell:pre-germinal center,CL:0000236,skos:narrowMatch,b cell,B cell,CL:0000236,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,lymphnode-codex-yale
B_Cycling,b cell:proliferating,cycling B cell,CL:4033068,skos:exactMatch,b cell,B cell,CL:0000236,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,lymphnode-codex-yale
Beta cell,beta cell:pancreatic,type B pancreatic cell,CL:0000169,skos:exactMatch,beta cell,type B pancreatic cell,CL:0000169,skos:exactMatch,epithelial cell,epithelial cell,CL:0000066,skos:exactMatch,pancreas-geomx-ufl
CD34+ CD61+,cell:cd34+ cd61+,leukocyte:cd34-positive cd61-positive,CL:0000738,skos:narrowMatch,megakaryocyte,megakaryocyte,CL:0000556,skos:exactMatch,hematopoietic precursor cell,hematopoietic precursor cell,CL:0008001,skos:exactMatch,bonemarrow-codex-chop
Ki67 proliferating,cell:proliferating,cell:proliferating,CL:0000000,skos:narrowMatch,unknown cell,cell:unknown,CL:0000000,skos:narrowMatch,unknown cell,cell:unknown,CL:0000000,skos:narrowMatch,spleen-codex-ufl
DC,dendritic cell,dendritic cell,CL:0000451,skos:exactMatch,dendritic cell,dendritic cell,CL:0000451,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,colon-xenium-stanford
Dendritic cells,dendritic cell,dendritic cell,CL:0000451,skos:exactMatch,dendritic cell,dendritic cell,CL:0000451,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,skin-confocal-sorgerlab
DC,dendritic cell,dendritic cell,CL:0000451,skos:exactMatch,dendritic cell,dendritic cell,CL:0000451,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,maternalfetalinterface-mibitof-stanford
DC,dendritic cell,dendritic cell,CL:0000451,skos:exactMatch,dendritic cell,dendritic cell,CL:0000451,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,intestine-codex-stanford
Dendritic Cells,dendritic cell,dendritic cell,CL:0000451,skos:exactMatch,dendritic cell,dendritic cell,CL:0000451,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,oralcavity-codex-czi
CD11B+ CD11C- cells,dendritic cell:cd11b+,CD11b-positive dendritic cell,CL:0002465,skos:exactMatch,dendritic cell,dendritic cell,CL:0000451,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,skin-confocal-sorgerlab
DC_cDC1,dendritic cell:conventional 1,CD141-positive myeloid dendritic cell,CL:0002394,skos:exactMatch,dendritic cell,dendritic cell,CL:0000451,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,lymphnode-codex-yale
DC_cDC2,dendritic cell:conventional 2,CD1c-positive myeloid dendritic cell,CL:0002399,skos:exactMatch,dendritic cell,dendritic cell,CL:0000451,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,lymphnode-codex-yale
FDC,dendritic cell:follicular,follicular dendritic cell,CL:0000442,skos:exactMatch,dendritic cell,dendritic cell,CL:0000451,skos:exactMatch,mesenchymal cell,mesenchymal cell,CL:0008019,skos:exactMatch,lymphnode-codex-yale
DC_CCR7+,dendritic cell:migratory,migratory dendtritic cell,CL:4047054,skos:exactMatch,dendritic cell,dendritic cell,CL:0000451,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,lymphnode-codex-yale
DC_pDC,dendritic cell:plasmacytoid,plasmacytoid dendritic cell,CL:0000784,skos:exactMatch,dendritic cell,dendritic cell,CL:0000451,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,lymphnode-codex-yale
pDC,dendritic cell:plasmacytoid,plasmacytoid dendritic cell,CL:0000784,skos:exactMatch,dendritic cell,dendritic cell,CL:0000451,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,bonemarrow-codex-chop
Endosteal,endosteal cell,endosteal cell,CL:0002157,skos:exactMatch,skeletal stromal cell,bone cell:stromal,CL:0001035,skos:narrowMatch,mesenchymal cell,mesenchymal cell,CL:0008019,skos:exactMatch,bonemarrow-codex-chop
Endothelial,endothelial cell,endothelial cell,CL:0000115,skos:exactMatch,endothelial cell,endothelial cell,CL:0000115,skos:exactMatch,endothelial cell,endothelial cell,CL:0000115,skos:exactMatch,lymphnode-codex-yale
Endothelial,endothelial cell,endothelial cell,CL:0000115,skos:exactMatch,endothelial cell,endothelial cell,CL:0000115,skos:exactMatch,endothelial cell,endothelial cell,CL:0000115,skos:exactMatch,skin-celldive-ge
Endothelial,endothelial cell,endothelial cell,CL:0000115,skos:exactMatch,endothelial cell,endothelial cell,CL:0000115,skos:exactMatch,endothelial cell,endothelial cell,CL:0000115,skos:exactMatch,skin-confocal-sorgerlab
Endothelial,endothelial cell,endothelial cell,CL:0000115,skos:exactMatch,endothelial cell,endothelial cell,CL:0000115,skos:exactMatch,endothelial cell,endothelial cell,CL:0000115,skos:exactMatch,pancreas-geomx-ufl
Endothelial,endothelial cell,endothelial cell,CL:0000115,skos:exactMatch,endothelial cell,endothelial cell,CL:0000115,skos:exactMatch,endothelial cell,endothelial cell,CL:0000115,skos:exactMatch,intestine-codex-stanford
Endo_p,endothelial cell,endothelial cell,CL:0000115,skos:exactMatch,endothelial cell,endothelial cell,CL:0000115,skos:exactMatch,endothelial cell,endothelial cell,CL:0000115,skos:exactMatch,lung-codex-urmc
Endothelial,endothelial cell,endothelial cell,CL:0000115,skos:exactMatch,endothelial cell,endothelial cell,CL:0000115,skos:exactMatch,endothelial cell,endothelial cell,CL:0000115,skos:exactMatch,tonsil-codex-stanford
Endothelial,endothelial cell,endothelial cell,CL:0000115,skos:exactMatch,endothelial cell,endothelial cell,CL:0000115,skos:exactMatch,endothelial cell,endothelial cell,CL:0000115,skos:exactMatch,colon-xenium-stanford
Endothelial,endothelial cell,endothelial cell,CL:0000115,skos:exactMatch,endothelial cell,endothelial cell,CL:0000115,skos:exactMatch,endothelial cell,endothelial cell,CL:0000115,skos:exactMatch,maternalfetalinterface-mibitof-stanford
Endothelial,endothelial cell,endothelial cell,CL:0000115,skos:exactMatch,endothelial cell,endothelial cell,CL:0000115,skos:exactMatch,endothelial cell,endothelial cell,CL:0000115,skos:exactMatch,colon-cycif-sorgerlab
Endothelial,endothelial cell,endothelial cell,CL:0000115,skos:exactMatch,endothelial cell,endothelial cell,CL:0000115,skos:exactMatch,endothelial cell,endothelial cell,CL:0000115,skos:exactMatch,esophagus-codex-stanford
ENDO_SMC,endothelial cell,endothelial cell,CL:0000115,skos:exactMatch,endothelial cell,endothelial cell,CL:0000115,skos:exactMatch,endothelial cell,endothelial cell,CL:0000115,skos:exactMatch,lung-codex-urmc
Endo_2,endothelial cell,endothelial cell,CL:0000115,skos:exactMatch,endothelial cell,endothelial cell,CL:0000115,skos:exactMatch,endothelial cell,endothelial cell,CL:0000115,skos:exactMatch,lung-codex-urmc
ENDO_1,endothelial cell,endothelial cell,CL:0000115,skos:exactMatch,endothelial cell,endothelial cell,CL:0000115,skos:exactMatch,endothelial cell,endothelial cell,CL:0000115,skos:exactMatch,lung-codex-urmc
AEC,endothelial cell of artery,endothelial cell of artery,CL:1000413,skos:exactMatch,endothelial cell of artery,endothelial cell of artery,CL:1000413,skos:exactMatch,endothelial cell,endothelial cell,CL:0000115,skos:exactMatch,bonemarrow-codex-chop
CAP_ENDO,endothelial cell of capillary,capillary endothelial cell,CL:0002144,skos:exactMatch,endothelial cell of capillary,capillary endothelial cell,CL:0002144,skos:exactMatch,endothelial cell,endothelial cell,CL:0000115,skos:exactMatch,lung-codex-urmc
Podoplanin,endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel,CL:0002138,skos:exactMatch,endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel,CL:0002138,skos:exactMatch,endothelial cell,endothelial cell,CL:0000115,skos:exactMatch,spleen-codex-ufl
Lymphatic endothelial cells,endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel,CL:0002138,skos:exactMatch,endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel,CL:0002138,skos:exactMatch,endothelial cell,endothelial cell,CL:0000115,skos:exactMatch,colon-xenium-stanford
Lymphatic,endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel,CL:0002138,skos:exactMatch,endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel,CL:0002138,skos:exactMatch,endothelial cell,endothelial cell,CL:0000115,skos:exactMatch,intestine-codex-stanford
Lymphatic_Endothelium,endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel,CL:0002138,skos:exactMatch,endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel,CL:0002138,skos:exactMatch,endothelial cell,endothelial cell,CL:0000115,skos:exactMatch,lung-codex-urmc
lymphatic Endothelium,endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel,CL:0002138,skos:exactMatch,endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel,CL:0002138,skos:exactMatch,endothelial cell,endothelial cell,CL:0000115,skos:exactMatch,lung-codex-urmc
Lymphatic Endothelial Cells,endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel,CL:0002138,skos:exactMatch,endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel,CL:0002138,skos:exactMatch,endothelial cell,endothelial cell,CL:0000115,skos:exactMatch,oralcavity-codex-czi
Lymphatic Vascular Cells,endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel,CL:0002138,skos:exactMatch,endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel,CL:0002138,skos:exactMatch,endothelial cell,endothelial cell,CL:0000115,skos:exactMatch,oralcavity-codex-czi
SEC,endothelial cell of sinusoid,endothelial cell of sinusoid,CL:0002262,skos:exactMatch,endothelial cell of sinusoid,endothelial cell of sinusoid,CL:0002262,skos:exactMatch,endothelial cell,endothelial cell,CL:0000115,skos:exactMatch,bonemarrow-codex-chop
Sinusoidal cells,endothelial cell of sinusoid,endothelial cell of sinusoid,CL:0002262,skos:exactMatch,endothelial cell of sinusoid,endothelial cell of sinusoid,CL:0002262,skos:exactMatch,endothelial cell,endothelial cell,CL:0000115,skos:exactMatch,spleen-codex-ufl
Vascular Endothelial Cells,endothelial cell of vascular tree,endothelial cell of vascular tree,CL:0002139,skos:exactMatch,endothelial cell of vascular tree,endothelial cell of vascular tree,CL:0002139,skos:exactMatch,endothelial cell,endothelial cell,CL:0000115,skos:exactMatch,oralcavity-codex-czi
blood endothelial,endothelial cell of vascular tree,endothelial cell of vascular tree,CL:0002139,skos:exactMatch,endothelial cell of vascular tree,endothelial cell of vascular tree,CL:0002139,skos:exactMatch,endothelial cell,endothelial cell,CL:0000115,skos:exactMatch,spleen-codex-ufl
VEC Progen,endothelial cell of vascular tree,endothelial cell of vascular tree,CL:0002139,skos:exactMatch,endothelial cell of vascular tree,endothelial cell of vascular tree,CL:0002139,skos:exactMatch,endothelial cell,endothelial cell,CL:0000115,skos:exactMatch,oralcavity-codex-czi
Enterocytes,enterocyte,enterocyte,CL:0000584,skos:exactMatch,enterocyte,enterocyte,CL:0000584,skos:exactMatch,epithelial cell,epithelial cell,CL:0000066,skos:exactMatch,colon-xenium-stanford
Enterocyte,enterocyte,enterocyte,CL:0000584,skos:exactMatch,enterocyte,enterocyte,CL:0000584,skos:exactMatch,epithelial cell,epithelial cell,CL:0000066,skos:exactMatch,intestine-codex-stanford
CD57+ Enterocyte,enterocyte:cd57+,CD57-positive enterocyte,CL:4033092,skos:exactMatch,enterocyte,enterocyte,CL:0000584,skos:exactMatch,epithelial cell,epithelial cell,CL:0000066,skos:exactMatch,intestine-codex-stanford
CD66+ Enterocyte,enterocyte:cd66+,enterocyte:cd66-positive,CL:0000584,skos:narrowMatch,enterocyte,enterocyte,CL:0000584,skos:exactMatch,epithelial cell,epithelial cell,CL:0000066,skos:exactMatch,intestine-codex-stanford
Immature Enterocytes,enterocyte:immature,enterocyte:immature,CL:0000584,skos:narrowMatch,enterocyte,enterocyte,CL:0000584,skos:exactMatch,epithelial cell,epithelial cell,CL:0000066,skos:exactMatch,colon-xenium-stanford
MUC1+ Enterocyte,enterocyte:muc1+,enterocyte:muc1-positive,CL:0000584,skos:narrowMatch,enterocyte,enterocyte,CL:0000584,skos:exactMatch,epithelial cell,epithelial cell,CL:0000066,skos:exactMatch,intestine-codex-stanford
Enterocyte Progenitors,enterocyte:progenitor,enterocyte:progenitor,CL:0000584,skos:narrowMatch,enterocyte,enterocyte,CL:0000584,skos:exactMatch,epithelial cell,epithelial cell,CL:0000066,skos:exactMatch,colon-xenium-stanford
Enteroendocrine,enteroendocrine cell,enteroendocrine cell,CL:0000164,skos:exactMatch,endocrine cell,endocrine cell,CL:0000163,skos:exactMatch,epithelial cell,epithelial cell,CL:0000066,skos:exactMatch,colon-xenium-stanford
Best4+ Enterocytes,enteroycte:best4+,BEST4+ enterocyte,CL:4030026,skos:exactMatch,enterocyte,enterocyte,CL:0000584,skos:exactMatch,epithelial cell,epithelial cell,CL:0000066,skos:exactMatch,colon-xenium-stanford
Epithelial,epithelial cell,epithelial cell,CL:0000066,skos:exactMatch,epithelial cell,epithelial cell,CL:0000066,skos:exactMatch,epithelial cell,epithelial cell,CL:0000066,skos:exactMatch,oralcavity-codex-czi
Ionocytes,epithelial cell,epithelial cell,CL:0000066,skos:exactMatch,epithelial cell,epithelial cell,CL:0000066,skos:exactMatch,epithelial cell,epithelial cell,CL:0000066,skos:exactMatch,oralcavity-codex-czi
Melanocytes,epithelial cell,epithelial cell,CL:0000066,skos:exactMatch,epithelial cell,epithelial cell,CL:0000066,skos:exactMatch,epithelial cell,epithelial cell,CL:0000066,skos:exactMatch,oralcavity-codex-czi
Lung_Epithelial_1,epithelial cell,epithelial cell,CL:0000066,skos:exactMatch,epithelial cell,epithelial cell,CL:0000066,skos:exactMatch,epithelial cell,epithelial cell,CL:0000066,skos:exactMatch,lung-codex-urmc
Lung_Epithelial_4,epithelial cell,epithelial cell,CL:0000066,skos:exactMatch,epithelial cell,epithelial cell,CL:0000066,skos:exactMatch,epithelial cell,epithelial cell,CL:0000066,skos:exactMatch,lung-codex-urmc
Merkel Cells,epithelial cell,epithelial cell,CL:0000066,skos:exactMatch,epithelial cell,epithelial cell,CL:0000066,skos:exactMatch,epithelial cell,epithelial cell,CL:0000066,skos:exactMatch,oralcavity-codex-czi
Lung_Epithelial_p,epithelial cell,epithelial cell,CL:0000066,skos:exactMatch,epithelial cell,epithelial cell,CL:0000066,skos:exactMatch,epithelial cell,epithelial cell,CL:0000066,skos:exactMatch,lung-codex-urmc
Ducts,epithelial cell:ductal ,duct epithelial cell,CL:0000068,skos:exactMatch,gland epithelium cell,epithelial cell:gland,CL:0000066,skos:narrowMatch,epithelial cell,epithelial cell,CL:0000066,skos:exactMatch,oralcavity-codex-czi
Ductal Epithelial Cells,epithelial cell:ductal ,duct epithelial cell,CL:0000068,skos:exactMatch,gland epithelium cell,epithelial cell:gland,CL:0000066,skos:narrowMatch,epithelial cell,epithelial cell,CL:0000066,skos:exactMatch,oralcavity-codex-czi
Ductal cell,epithelial cell:ductal ,duct epithelial cell,CL:0000068,skos:exactMatch,gland epithelium cell,epithelial cell:gland,CL:0000066,skos:narrowMatch,epithelial cell,epithelial cell,CL:0000066,skos:exactMatch,pancreas-geomx-ufl
Ki67+ Tumor/Epithelial,epithelial cell:ki67+ proliferating tumor,epithelial cell:ki67-positive proliferating tumor,CL:0000066,skos:narrowMatch,abnormal cell,abnormal cell,CL:0001061,skos:exactMatch,epithelial cell,epithelial cell,CL:0000066,skos:exactMatch,colon-cycif-sorgerlab
PDL1+ Tumor/Epithelial,epithelial cell:pdl1+ tumor,epithelial cell:pdl1-positive tumor,CL:0000066,skos:narrowMatch,abnormal cell,abnormal cell,CL:0001061,skos:exactMatch,epithelial cell,epithelial cell,CL:0000066,skos:exactMatch,colon-cycif-sorgerlab
Secretory_epithelial,epithelial cell:secretory,secretory epithelial cell,CL:1100001,skos:exactMatch,secretory cell of esophagus,glandular cell of esophagus,CL:0002657,skos:exactMatch,epithelial cell,epithelial cell,CL:0000066,skos:exactMatch,esophagus-codex-stanford
Erythroblast,erythroblast,erythroblast,CL:0000765,skos:exactMatch,erythroid precursor ,erythroid progenitor cell,CL:0000038,skos:exactMatch,hematopoietic precursor cell,hematopoietic precursor cell,CL:0008001,skos:exactMatch,bonemarrow-codex-chop
MEP/Early Erythroblast,erythroblast:basophilic,basophilic erythroblast,CL:0000549,skos:exactMatch,erythroid precursor ,erythroid progenitor cell,CL:0000038,skos:exactMatch,hematopoietic precursor cell,hematopoietic precursor cell,CL:0008001,skos:exactMatch,bonemarrow-codex-chop
Erythroid,erythroid lineage cell,erythroid lineage cell,CL:0000764,skos:exactMatch,erythroid precursor ,erythroid progenitor cell,CL:0000038,skos:exactMatch,hematopoietic precursor cell,hematopoietic precursor cell,CL:0008001,skos:exactMatch,bonemarrow-codex-chop
Fibroblasts,fibroblast,fibroblast,CL:0000057,skos:exactMatch,fibroblast,fibroblast,CL:0000057,skos:exactMatch,mesenchymal cell,mesenchymal cell,CL:0008019,skos:exactMatch,oralcavity-codex-czi
Fibroblasts,fibroblast,fibroblast,CL:0000057,skos:exactMatch,fibroblast,fibroblast,CL:0000057,skos:exactMatch,mesenchymal cell,mesenchymal cell,CL:0008019,skos:exactMatch,maternalfetalinterface-mibitof-stanford
Cancer Associated Fibroblasts,fibroblast:cancer associated,fibroblast:cancer associated,CL:0000057,skos:narrowMatch,fibroblast,fibroblast,CL:0000057,skos:exactMatch,mesenchymal cell,mesenchymal cell,CL:0008019,skos:exactMatch,colon-xenium-stanford
Crypt Fibroblasts 1,fibroblast:crypt 1,crypt-top fibroblast:1,CL:4052009,skos:narrowMatch,fibroblast,fibroblast,CL:0000057,skos:exactMatch,mesenchymal cell,mesenchymal cell,CL:0008019,skos:exactMatch,colon-xenium-stanford
Crypt Fibroblasts 2,fibroblast:crypt 2,crypt-top fibroblast:2,CL:4052009,skos:narrowMatch,fibroblast,fibroblast,CL:0000057,skos:exactMatch,mesenchymal cell,mesenchymal cell,CL:0008019,skos:exactMatch,colon-xenium-stanford
Crypt Fibroblasts 3,fibroblast:crypt 3,crypt-top fibroblast:3,CL:4052009,skos:narrowMatch,fibroblast,fibroblast,CL:0000057,skos:exactMatch,mesenchymal cell,mesenchymal cell,CL:0008019,skos:exactMatch,colon-xenium-stanford
Crypt Fibroblasts 4,fibroblast:crypt 4,crypt-top fibroblast:4,CL:4052009,skos:narrowMatch,fibroblast,fibroblast,CL:0000057,skos:exactMatch,mesenchymal cell,mesenchymal cell,CL:0008019,skos:exactMatch,colon-xenium-stanford
Villus Fibroblasts WNT5B+,fibroblast:wnt5b+ villus,fibroblast:wnt5b+ villus,CL:0000057,skos:narrowMatch,fibroblast,fibroblast,CL:0000057,skos:exactMatch,mesenchymal cell,mesenchymal cell,CL:0008019,skos:exactMatch,colon-xenium-stanford
Glandular_epi,glandular cell of esophagus,glandular cell of esophagus,CL:0002657,skos:exactMatch,gland epithelium cell,glandular secretory epithelial cell,CL:0000150,skos:exactMatch,epithelial cell,epithelial cell,CL:0000066,skos:exactMatch,esophagus-codex-stanford
Glandular,glandular cell of placenta,glandular secretory epithelial cell:placenta,CL:0000150,skos:narrowMatch,gland epithelium cell,glandular secretory epithelial cell,CL:0000150,skos:exactMatch,epithelial cell,epithelial cell,CL:0000066,skos:exactMatch,maternalfetalinterface-mibitof-stanford
Glia,glial cell,glial cell,CL:0000125,skos:exactMatch,neuroglial cell,glial cell,CL:0000125,skos:exactMatch,neural cell,neural cell,CL:0002319,skos:exactMatch,colon-xenium-stanford
